"","Site_Code","Site_Name","Site_Species_Detected","Treatment","Season","forest_birds","generalist_birds"
"1","AM_1","Amjhar",44,"Unrestored","Winter_2021",19,24
"2","AM_1","Amjhar",51,"Unrestored","Winter_2020",22,27
"3","AM_2","Amjhar",48,"Unrestored","Winter_2021",25,20
"4","AM_2","Amjhar",57,"Unrestored","Winter_2020",23,33
"5","AO_1","Aroli_Benchmark",51,"No_Lantana","Winter_2021",23,25
"6","AO_2","Aroli_Benchmark",38,"No_Lantana","Winter_2021",18,18
"7","AO_FD_1","Aroli_FD_Removed",37,"Restored","Winter_2020",17,19
"8","AO_FD_1","Aroli_FD_Removed",42,"Restored","Winter_2021",19,21
"9","AO_FD_2","Aroli_FD_Removed",39,"Restored","Winter_2020",17,20
"10","AO_FD_2","Aroli_FD_Removed",42,"Restored","Winter_2021",19,22
"11","BH_FD_1","Bhagpur_FD_Removed",22,"Restored","Winter_2021",10,11
"12","BH_FD_1","Bhagpur_FD_Removed",35,"Restored","Winter_2020",12,21
"13","BH_FD_2","Bhagpur_FD_Removed",37,"Restored","Winter_2021",15,21
"14","BH_FD_2","Bhagpur_FD_Removed",46,"Restored","Winter_2020",19,24
"15","BH_FD_3","Bhagpur_FD_Removed",34,"Restored","Winter_2021",17,16
"16","BH_FD_3","Bhagpur_FD_Removed",36,"Restored","Winter_2020",13,20
"17","BK_1","Bhanpur_Kheda",38,"Unrestored","Winter_2021",18,18
"18","BK_1","Bhanpur_Kheda",41,"Unrestored","Winter_2020",11,26
"19","BK_2","Bhanpur_Kheda",11,"Unrestored","Winter_2021",5,4
"20","BK_2","Bhanpur_Kheda",19,"Unrestored","Winter_2020",2,13
"21","BR_1","Barkheda",26,"Unrestored","Winter_2021",10,13
"22","BR_1","Barkheda",44,"Unrestored","Winter_2020",10,31
"23","BR_2","Barkheda",34,"Unrestored","Winter_2021",10,21
"24","BR_2","Barkheda",40,"Unrestored","Winter_2020",9,28
"25","BT_1","Batwar_Benchmark",42,"No_Lantana","Winter_2021",21,20
"26","BT_2","Batwar_Benchmark",38,"No_Lantana","Winter_2021",17,19
"27","BT_2","Batwar_Benchmark",55,"No_Lantana","Winter_2020",26,27
"28","BT_FD_1","Batwar_FD_Removed",35,"Restored","Winter_2020",14,20
"29","BT_FD_1","Batwar_FD_Removed",39,"Restored","Winter_2021",22,15
"30","BT_FD_2","Batwar_FD_Removed",39,"Restored","Winter_2020",18,20
"31","BT_FD_2","Batwar_FD_Removed",41,"Restored","Winter_2021",23,17
"32","CH_1","Chhichari",44,"Restored","Winter_2020",13,27
"33","CH_1","Chhichari",62,"Restored","Winter_2021",23,33
"34","CH_2","Chhichari",47,"Restored","Winter_2020",16,29
"35","CH_2","Chhichari",55,"Restored","Winter_2021",23,27
"36","DW_1","Dilwara",39,"Unrestored","Winter_2021",18,19
"37","DW_1","Dilwara",54,"Unrestored","Winter_2020",21,29
"38","DW_2","Dilwara",31,"Unrestored","Winter_2021",12,17
"39","DW_2","Dilwara",38,"Unrestored","Winter_2020",13,23
"40","DW_3","Dilwara",25,"Unrestored","Winter_2021",13,10
"41","DW_3","Dilwara",53,"Unrestored","Winter_2020",22,28
"42","DW_4","Dilwara",29,"Unrestored","Winter_2021",13,14
"43","DW_4","Dilwara",49,"Unrestored","Winter_2020",18,27
"44","JS_1","Jogi_Sondha",39,"Unrestored","Winter_2021",10,26
"45","JS_1","Jogi_Sondha",41,"Unrestored","Winter_2020",8,30
"46","JS_2","Jogi_Sondha",35,"Unrestored","Winter_2021",12,20
"47","JS_2","Jogi_Sondha",44,"Unrestored","Winter_2020",6,33
"48","KW_1","Kutwahi",32,"No_Lantana","Winter_2021",16,15
"49","KW_1","Kutwahi",37,"No_Lantana","Winter_2020",15,21
"50","KW_2","Kutwahi",30,"No_Lantana","Winter_2021",14,14
"51","KW_2","Kutwahi",38,"No_Lantana","Winter_2020",13,24
"52","KW_3","Kutwahi",37,"No_Lantana","Winter_2021",16,19
"53","KW_3","Kutwahi",43,"No_Lantana","Winter_2020",17,24
"54","KW_4","Kutwahi",39,"No_Lantana","Winter_2020",14,22
"55","KW_4","Kutwahi",39,"No_Lantana","Winter_2021",17,20
"56","MAG_1","Magdha",39,"Restored","Winter_2020",16,22
"57","MAG_1","Magdha",40,"Restored","Winter_2021",18,19
"58","MAG_2","Magdha",35,"Restored","Winter_2021",17,17
"59","MAG_2","Magdha",38,"Restored","Winter_2020",20,16
"60","MAG_3","Magdha",38,"Restored","Winter_2021",19,18
"61","MAG_4","Magdha",44,"Restored","Winter_2021",24,18
"62","MAG_4","Magdha",47,"Restored","Winter_2020",25,20
"63","MAG_5","Magdha",38,"Restored","Winter_2020",18,18
"64","MAG_5","Magdha",44,"Restored","Winter_2021",20,22
"65","MG_FD_1","Manegaon_FV",28,"Restored","Winter_2020",14,13
"66","MG_FD_1","Manegaon_FV",55,"Restored","Winter_2021",26,27
"67","MG_FD_2","Manegaon_FV",28,"Restored","Winter_2020",13,13
"68","MG_FD_2","Manegaon_FV",57,"Restored","Winter_2021",26,28
"69","MG_FD_3","Manegaon_FV",33,"Restored","Winter_2020",16,16
"70","MG_FD_3","Manegaon_FV",52,"Restored","Winter_2021",23,27
"71","MH_1","Mohgaon",36,"Restored","Winter_2020",11,23
"72","MH_1","Mohgaon",43,"Restored","Winter_2021",20,21
"73","MH_2","Mohgaon",34,"Restored","Winter_2020",10,22
"74","MH_2","Mohgaon",42,"Restored","Winter_2021",20,20
"75","MH_3","Mohgaon",33,"Restored","Winter_2020",12,19
"76","MH_3","Mohgaon",39,"Restored","Winter_2021",19,18
"77","PT_1","Patpara",40,"No_Lantana","Winter_2021",22,17
"78","PT_1","Patpara",54,"No_Lantana","Winter_2020",25,27
"79","PT_2","Patpara",49,"No_Lantana","Winter_2021",24,23
"80","PT_2","Patpara",56,"No_Lantana","Winter_2020",26,28
"81","PT_3","Patpara",30,"No_Lantana","Winter_2021",10,19
"82","PT_3","Patpara",49,"No_Lantana","Winter_2020",20,27
"83","SB_1","Simaiya_Bhagpur",41,"Unrestored","Winter_2021",18,22
"84","SB_1","Simaiya_Bhagpur",47,"Unrestored","Winter_2020",18,25
"85","SB_2","Simaiya_Bhagpur",39,"Unrestored","Winter_2021",19,19
"86","SB_2","Simaiya_Bhagpur",50,"Unrestored","Winter_2020",19,28
"87","SB_3","Simaiya_Bhagpur",42,"Unrestored","Winter_2021",21,19
"88","SB_3","Simaiya_Bhagpur",51,"Unrestored","Winter_2020",19,27
"89","TW_1","Taktauwa",31,"Restored","Winter_2021",13,16
"90","TW_1","Taktauwa",48,"Restored","Winter_2020",17,29
"91","TW_2","Taktauwa",32,"Restored","Winter_2020",9,21
"92","TW_2","Taktauwa",34,"Restored","Winter_2021",16,16
"93","TW_3","Taktauwa",30,"Restored","Winter_2021",12,15
"94","TW_3","Taktauwa",37,"Restored","Winter_2020",13,22
"95","TW_4","Taktauwa",48,"Restored","Winter_2020",21,25
"96","TW_4","Taktauwa",48,"Restored","Winter_2021",21,25
"97","TW_5","Taktauwa",18,"Restored","Winter_2021",9,7
"98","TW_5","Taktauwa",43,"Restored","Winter_2020",14,26
"99","UR_1","Urdali_Lantana",30,"Unrestored","Winter_2021",7,21
"100","UR_1","Urdali_Lantana",52,"Unrestored","Winter_2020",20,28
"101","UR_2","Urdali_Lantana",26,"Unrestored","Winter_2021",7,16
"102","UR_2","Urdali_Lantana",53,"Unrestored","Winter_2020",22,29
"103","URM_1","Urdali_Mal",47,"Unrestored","Winter_2020",23,22
"104","URM_1","Urdali_Mal",54,"Unrestored","Winter_2021",28,24
"105","URM_2","Urdali_Mal",44,"Unrestored","Winter_2020",20,22
"106","URM_2","Urdali_Mal",49,"Unrestored","Winter_2021",24,23
